age;bmi;plz;secret
91;10.08;1316;2
15;14.08;1815;2
20;24.26;9211;5
86;29.35;8270;2
83;10.14;3987;2
60;13.17;3753;4
87;12.94;4430;8
57;25.57;1280;3
62;25.36;6559;8
11;26.9;3070;3
35;16.63;3875;9
60;20.13;7903;1
18;18.79;9193;5
84;12.43;3066;7
84;16.04;8623;7
62;27.1;7570;0
25;17.65;5515;1
89;24.21;1591;9
23;28.41;8435;8
58;13.49;2317;0
60;13.96;8494;8
77;18.33;8642;0
70;26.22;2587;9
16;16.98;7405;5
3;29.93;4363;2
82;13.26;2113;2
40;25.94;4998;10
50;16.33;9336;0
96;22.7;1070;2
37;29.51;6215;2
90;21.32;2132;8
71;26.94;3786;2
80;16.82;4763;8
87;28.76;9043;8
77;23.74;3196;3
76;12.09;9948;4
92;13.07;9815;6
53;30.86;2817;0
91;10.14;7111;7
16;19.42;2783;2
45;20.09;6882;6
20;20.33;7271;4
6;19.92;7780;6
94;27.97;1681;8
55;30.28;4493;3
62;30.67;8713;4
93;12.49;6135;1
49;20.52;5037;4
66;13.52;5679;8
88;18.22;8236;2
62;20.8;6467;1
63;18.49;9228;1
11;23.18;7141;3
37;18.89;3594;10
68;23.42;1548;6
63;27.14;8512;7
78;25.93;7440;2
83;10.3;8238;3
38;28.75;5031;6
43;27.31;7324;6
12;11.9;1735;9
96;14.84;4011;7
64;24.69;9641;4
70;24.43;4494;8
11;17.53;3553;0
8;13.25;3002;7
16;14.39;1649;4
28;18.19;7870;4
71;29.86;8089;5
39;14.97;7065;2
33;22.58;9127;8
34;29.38;2846;5
25;13.47;9548;6
25;23.07;4492;8
14;19.91;8497;7
97;26.37;5311;4
18;28.9;5017;3
7;30.0;8349;8
2;27.87;8857;6
44;13.82;5501;7
87;11.67;7375;8
25;12.8;5973;2
64;15.74;3595;7
95;21.02;5262;1
79;20.76;8738;10
67;22.26;4128;2
58;20.1;9792;0
2;21.49;9223;5
64;21.85;6937;10
28;19.47;3325;9
11;14.4;1900;1
36;25.1;1382;7
90;13.77;9535;7
22;16.29;4789;2
63;22.07;5220;9
41;17.53;1599;6
39;25.91;1873;1
4;26.32;9607;9
41;21.66;2651;5
32;30.31;8502;7
21;17.77;9659;3
47;25.69;5519;6
90;11.59;1231;7
66;16.09;4297;6
62;27.44;8588;1
24;18.33;8873;4
31;13.88;1964;8
49;22.49;8000;8
39;12.31;9492;2
51;27.2;4248;8
88;27.49;3429;4
21;24.26;1563;5
12;22.58;8537;5
30;21.87;2228;3
26;25.68;7677;8
80;12.04;3427;3
89;25.11;4946;5
58;24.08;3840;1
70;28.9;5910;0
79;12.25;5972;8
99;18.05;9759;4
32;23.72;2151;9
36;11.79;2447;3
58;27.78;6384;1
99;26.75;5129;4
21;30.7;7526;4
29;11.7;9475;9
61;14.74;9431;8
80;12.5;2655;2
34;21.29;2049;5
67;29.21;8088;3
77;10.96;6646;5
14;19.58;7247;3
55;20.36;7596;6
70;25.32;6104;9
74;27.62;8428;6
1;25.05;8025;7
78;15.06;2079;0
68;25.56;8174;1
51;29.57;7541;4
52;26.94;9760;7
100;25.42;3338;3
80;26.75;1673;10
83;14.84;4535;4
72;24.13;1343;0
20;27.36;1206;9
10;10.73;7877;6
91;14.82;9570;8
87;24.61;9794;0
1;11.65;3223;10
13;12.73;4926;0
96;25.61;7156;9
60;29.53;1300;8
27;21.29;9518;2
84;23.73;6067;5
7;28.01;5293;5
58;24.5;2796;8
25;30.81;2347;4
5;10.36;9693;10
85;22.78;2532;5
6;30.74;7575;4
96;13.97;8791;3
27;20.88;5653;1
43;28.47;3444;2
95;16.54;2439;8
92;21.49;7117;7
9;30.74;6360;10
26;10.52;5989;2
72;15.48;3876;10
9;27.02;5299;10
77;21.12;8178;4
24;24.94;1314;5
84;20.95;8783;6
35;14.24;8193;6
62;28.07;4591;0
65;20.24;8439;8
10;24.55;8216;5
100;21.25;3881;0
44;25.69;1666;0
41;22.03;4375;6
42;19.65;5679;2
87;26.92;9671;2
74;10.85;4293;10
12;17.73;6133;1
56;22.9;8449;3
52;25.69;2253;8
13;26.98;4715;8
49;14.05;3156;8
30;18.93;5430;2
92;28.25;6526;3
38;11.4;4841;3
53;25.57;5658;7
52;27.92;8051;3
27;19.74;5571;0
70;22.68;4843;5
3;26.04;6369;6
81;12.42;5693;9
37;11.72;9299;2
69;18.62;7543;4
96;19.82;4195;3
89;12.02;2152;5
4;30.72;7246;2
51;14.16;7080;5
6;13.04;4285;10
60;12.27;2640;0
14;11.63;8037;10
70;20.98;2365;5
34;20.89;8013;10
74;20.45;9819;6
60;26.54;8005;7
22;10.06;3818;3
89;16.63;6360;7
43;22.61;6367;1
8;19.49;1476;9
18;12.8;1895;3
42;21.74;8221;5
30;21.39;9587;4
64;23.69;1207;8
76;14.23;9897;0
20;11.75;9110;1
27;18.22;4545;7
3;10.6;1488;7
79;26.73;5566;8
84;26.27;3775;10
11;13.21;3243;7
99;11.48;5404;1
59;18.83;9961;6
26;10.68;2238;1
61;12.47;9332;10
18;17.87;3761;8
43;24.52;2127;8
64;29.99;8722;7
50;11.09;9856;2
11;28.47;9159;3
24;23.69;7043;2
53;25.37;4010;5
3;25.55;7530;4
69;21.96;5744;5
94;24.02;1359;8
88;26.9;7702;8
26;17.82;8061;1
82;13.25;8103;8
4;19.0;1414;1
39;13.95;8883;1
2;15.87;2991;3
55;14.63;8832;7
89;21.43;5047;0
56;21.73;3705;7
60;20.86;6590;2
29;17.38;8254;5
13;15.1;7679;5
23;21.54;9376;8
6;26.76;7273;3
65;25.29;4805;2
81;23.82;7199;3
79;26.24;5062;0
35;15.67;9056;0
23;24.6;4577;2
75;14.7;2118;7
74;11.27;2199;5
94;23.45;5550;0
14;26.89;9518;7
52;23.85;5517;9
18;18.97;5707;7
39;13.25;7984;7
40;27.35;6800;4
69;11.2;7283;6
41;15.55;5629;2
31;29.2;5768;2
7;15.02;8838;8
75;21.83;6117;2
56;15.14;3668;1
36;11.01;8092;5
33;24.44;4475;2
13;13.36;7843;3
35;19.65;7138;5
54;14.81;9052;7
20;29.24;5830;6
8;10.93;3494;6
84;15.74;3826;9
60;10.79;6825;7
28;24.08;6295;2
57;12.15;3679;2
32;18.45;3264;3
74;24.23;9364;3
10;11.68;7202;9
2;30.69;7748;4
20;25.05;4909;10
36;21.19;4138;6
49;10.05;9651;5
12;15.87;2226;9
3;15.5;5740;9
15;11.61;4407;3
55;27.9;2989;5
42;15.8;2050;3
51;10.2;6750;0
22;23.15;5526;2
67;18.21;8455;3
3;27.59;4072;9
67;27.27;4870;1
63;19.39;8789;3
10;30.98;2490;3
10;28.08;1363;7
98;13.15;1782;5
81;24.75;9307;3
67;29.2;3195;4
42;27.7;8796;4
69;29.73;7156;8
55;25.8;6422;10
93;29.88;9461;1
74;10.76;5412;1
8;15.81;4791;7
76;16.28;5154;1
52;13.44;4252;5
30;24.87;5073;8
89;15.11;3170;3
83;28.53;4186;1
96;11.03;8551;9
0;30.93;7902;4
71;20.5;3919;1
85;14.59;1880;6
63;23.32;1464;2
82;28.1;8008;1
62;11.93;9685;10
26;28.7;6833;7
20;12.16;7988;5
90;23.38;7990;6
62;30.53;3913;1
52;28.59;3465;5
26;17.7;7937;6
80;24.18;8738;6
43;26.33;6047;9
9;20.01;3144;6
36;12.43;3524;3
49;22.52;6003;4
6;15.21;8626;3
52;30.13;5343;4
26;27.64;7112;9
47;23.24;7272;2
75;30.53;7803;6
82;25.21;8337;9
68;16.78;7617;4
67;21.71;1409;1
69;26.92;5767;5
89;14.06;1931;3
6;12.34;1076;9
47;25.69;2592;6
3;19.71;7577;6
31;11.81;9726;7
5;19.5;8872;6
40;26.69;2034;3
78;29.59;7906;2
13;21.5;5415;9
87;14.39;7125;3
13;15.34;2989;3
95;10.95;8195;7
6;22.96;4624;4
38;15.09;5732;2
2;30.4;8537;5
58;26.33;5720;8
64;21.46;3777;7
16;26.23;2580;2
98;20.75;2665;1
2;26.6;4062;7
82;19.71;4504;2
16;14.37;6410;7
93;13.95;1124;6
3;24.32;4496;9
46;28.63;2081;2
42;29.89;6848;1
50;13.88;5575;9
31;19.75;9785;5
37;22.42;5404;9
35;23.81;4086;9
42;15.88;9521;7
64;26.03;8884;10
17;16.46;3004;9
9;20.96;3737;3
11;23.98;6522;6
55;15.06;1056;2
65;26.46;5588;6
45;30.17;8338;8
88;17.67;5194;1
66;25.57;9896;2
10;24.46;7621;5
84;16.79;1020;9
46;25.71;1500;2
39;23.79;1769;5
2;28.13;7445;4
88;11.27;6834;9
10;23.5;2816;8
51;10.39;1155;6
80;18.8;9430;2
99;27.99;2244;8
93;21.5;9292;1
95;27.05;2403;7
87;13.9;3657;7
59;15.18;1270;2
98;19.22;1990;9
45;10.19;6400;2
71;10.09;8644;2
31;14.14;7801;2
39;24.22;5314;2
57;27.39;6644;2
41;17.79;1598;8
86;13.49;9560;7
35;20.68;3217;4
46;25.04;1234;7
9;29.46;1714;0
90;12.77;9235;4
18;24.03;1705;5
93;21.55;8263;4
78;16.14;4994;2
47;11.99;7269;5
14;22.14;8114;4
44;21.85;8127;5
27;25.89;9117;9
52;21.6;3808;6
40;23.52;3679;5
26;20.51;6241;5
35;16.46;6831;7
0;19.42;6310;2
76;13.1;3888;2
60;20.0;4666;6
6;20.77;6388;1
100;11.96;2314;6
44;15.08;4115;4
93;11.75;4146;5
29;25.71;2511;5
46;21.65;9874;3
73;21.27;4051;3
17;14.23;5056;10
43;15.72;1399;5
98;10.57;3143;3
68;26.54;7404;10
21;10.84;2757;2
38;23.69;5261;1
14;24.0;5625;2
56;13.82;1395;4
24;28.85;8869;3
51;10.64;5893;3
92;18.5;4590;2
53;25.07;1540;5
34;13.17;3942;6
11;25.73;9786;7
70;14.84;6135;7
90;13.92;4207;6
99;30.12;6050;5
72;27.05;9268;8
28;19.38;1424;1
70;15.27;4470;8
80;14.02;7784;8
98;24.68;3183;0
53;18.42;1572;3
88;12.46;2740;5
10;11.9;2163;2
30;10.64;8605;8
4;13.88;1700;7
69;16.55;4685;10
85;12.84;2953;3
9;22.04;5091;6
36;27.0;4642;10
80;11.06;9934;8
35;23.6;9895;9
89;12.11;4956;2
38;17.42;9819;4
56;24.81;3066;7
31;22.78;4340;8
93;22.46;2103;3
11;22.18;7772;7
99;28.33;5385;4
64;14.31;6805;5
61;16.22;1870;1
71;21.17;2848;9
93;21.27;2980;5
65;22.48;2925;2
49;12.39;1423;9
97;22.5;5555;8
93;27.4;7566;9
4;18.23;3326;2
15;28.09;6179;3
87;21.27;8076;9
25;28.63;2620;7
21;18.09;7905;2
55;28.02;5770;5
77;10.3;1434;7
64;16.63;4292;5
32;30.29;5017;8
26;17.81;4031;8
60;11.28;2833;4
28;25.43;7607;0
78;26.58;1074;4
25;18.54;8538;10
62;10.81;7642;3
35;29.63;2447;1
50;13.14;4060;5
46;17.22;2169;1
29;21.93;5552;3
89;12.67;9828;2
41;22.28;1446;4
96;29.48;9204;9
68;29.49;2387;3
31;26.55;7948;6
88;14.23;9019;2
95;12.02;8464;2
94;19.06;7080;5
6;22.74;4534;1
39;14.65;6127;0
28;13.49;3981;2
34;15.64;6299;7
2;10.52;7965;3
10;15.27;4829;9
83;28.03;5701;8
39;16.9;3246;5
10;28.49;9685;4
60;26.29;5451;0
41;24.22;5730;9
52;20.26;8109;6
50;23.48;9396;10
63;17.86;5060;8
55;12.79;8607;6
81;28.48;2672;0
20;25.65;6544;7
1;13.29;9345;3
73;16.58;3115;8
31;23.1;9593;9
5;21.1;7581;8
41;29.44;7407;9
58;16.39;6133;1
41;21.39;9834;7
18;15.45;8520;7
48;21.72;3962;3
55;30.09;3010;5
79;17.09;9759;4
1;26.12;2272;6
74;12.4;5449;2
40;20.51;4990;1
43;25.75;1381;5
49;13.49;6267;4
82;13.43;9556;1
28;20.67;3156;10
16;13.86;9284;1
99;13.79;6859;5
49;27.56;2646;1
64;24.76;3427;2
35;16.44;3693;0
47;21.88;5024;3
5;12.07;5604;8
67;12.51;3071;9
8;12.62;8208;7
21;12.67;5832;8
49;25.74;1588;7
58;12.23;3268;9
41;10.55;1699;2
87;27.6;1213;4
97;23.41;2188;4
43;24.29;8202;7
26;16.28;5863;1
12;21.61;4504;9
18;22.77;4502;2
81;25.31;6188;6
29;23.11;2937;1
59;27.18;6282;8
93;23.83;5616;7
3;21.65;9337;2
35;10.77;3072;2
34;15.99;8981;7
58;27.57;6998;4
20;15.77;3252;8
9;28.09;4870;2
71;14.51;9800;5
85;17.17;4301;3
77;21.81;9262;0
0;12.62;6579;2
72;22.27;8384;0
37;17.6;3073;5
6;15.06;2692;3
61;29.6;9447;7
73;16.04;7803;5
57;12.7;1884;6
12;14.6;6665;5
24;16.89;8742;0
78;29.71;4311;8
39;24.54;1358;2
64;15.89;5941;3
77;12.36;3920;3
9;26.09;6388;9
33;29.43;7614;9
26;14.57;9294;1
6;13.16;5470;2
33;12.38;6568;7
26;15.14;7623;2
79;27.06;3917;0
35;23.43;6904;0
94;10.55;9556;4
60;21.68;1970;8
94;13.5;4369;8
30;27.96;7414;10
33;19.43;4127;6
30;29.44;9528;8
91;28.48;2552;1
0;28.21;8691;3
11;20.7;9309;7
10;19.81;3541;2
51;22.05;3230;1
70;25.33;8400;5
7;18.58;1354;2
69;30.15;8620;3
15;15.55;5576;9
42;23.6;3816;4
41;18.39;4994;1
9;24.29;3147;10
28;11.72;7255;3
30;22.7;1122;2
51;17.87;2477;9
91;30.32;9588;7
85;27.66;8550;7
88;30.55;7867;5
11;21.37;6898;6
91;30.99;8220;4
7;30.03;3010;1
3;22.95;4081;10
93;24.69;7303;7
37;16.27;2762;7
26;14.09;4146;6
92;28.72;4553;7
72;22.95;6092;0
79;19.68;8425;6
3;26.99;4656;2
54;14.77;9769;9
82;10.01;9191;6
37;22.69;2864;4
46;19.98;7682;0
33;22.5;3012;3
100;21.9;9525;2
87;10.87;6542;0
71;22.75;8610;5
33;20.28;7113;4
99;24.9;4268;0
22;24.14;9010;9
56;20.74;3901;4
40;28.2;7378;2
18;15.53;5373;2
49;22.8;6587;7
40;28.59;4453;10
8;21.87;6159;4
1;28.26;2902;1
67;20.64;2960;1
17;13.55;4007;9
37;24.54;6595;1
53;19.11;2627;7
73;12.76;4189;5
69;15.06;6081;7
27;20.27;2011;1
76;13.88;7423;8
58;23.59;3620;9
5;30.21;5943;5
17;13.38;2477;4
7;27.46;9944;5
22;12.58;6217;2
28;11.47;4118;1
2;13.94;4023;2
39;16.62;1087;5
85;25.98;6792;2
11;29.2;1928;5
40;22.66;4025;2
58;23.89;7737;9
16;17.47;7656;5
6;21.55;1571;4
23;25.66;4235;0
42;18.97;2301;4
55;19.76;8175;1
56;24.01;6233;3
55;30.69;5989;6
90;15.26;3524;6
60;27.03;6733;3
45;28.42;6736;3
86;29.33;2061;1
12;30.81;4091;1
37;18.48;1616;8
41;27.68;4221;9
49;21.54;5682;6
41;30.43;8517;9
1;28.53;4292;2
92;25.76;1361;2
59;29.15;4226;10
15;27.34;5819;1
25;22.26;6612;3
9;23.62;2621;4
17;24.82;4042;1
77;18.82;7474;10
6;27.47;5419;4
89;12.26;1043;4
67;17.89;8960;1
45;18.45;2160;7
32;29.92;8061;3
46;25.72;1069;9
64;13.65;8948;7
97;27.36;2788;3
64;20.32;5322;6
72;12.31;9897;4
98;24.56;1432;4
36;18.11;1313;10
8;14.37;6260;10
0;17.62;1880;7
24;17.87;4779;3
57;25.54;6834;0
17;14.61;4454;4
9;17.94;4453;8
45;20.2;5438;4
1;19.22;9476;1
76;29.32;6160;9
23;23.3;4091;9
10;11.51;5235;8
18;29.88;9563;6
15;12.2;7887;3
53;20.02;9819;2
59;18.0;2342;7
99;15.54;8566;0
5;27.15;8865;9
40;14.88;8735;2
85;15.5;9392;8
29;23.49;2347;1
91;18.78;8943;2
28;23.72;7088;7
40;10.67;5264;8
15;28.99;8184;0
96;18.08;5382;0
48;14.72;8377;1
61;16.71;5021;0
20;27.96;4076;4
68;16.71;2067;1
33;27.14;4993;2
43;18.0;9517;9
81;16.16;9841;1
2;24.59;8624;8
33;13.7;5895;7
22;18.1;1152;7
33;12.54;8497;3
91;27.03;6952;3
74;26.34;5816;1
16;13.74;8298;0
12;11.03;9424;0
68;20.1;6660;0
13;20.8;8513;8
71;10.21;8881;10
71;18.45;5816;10
72;29.72;4918;2
26;25.45;9544;3
61;25.67;1622;0
68;20.98;1916;1
99;19.83;8216;6
10;12.94;6084;5
2;10.91;6441;1
73;15.57;6536;8
80;15.3;3536;4
9;10.16;2276;9
15;30.99;7517;5
44;12.08;6365;8
49;30.0;9427;5
46;16.01;5619;8
100;26.36;5512;2
19;16.28;4556;9
35;20.55;4502;3
97;10.42;9883;9
64;24.88;3455;1
83;25.56;3106;9
39;23.23;7835;2
57;23.23;5072;1
61;17.23;2784;3
50;26.59;5515;8
44;22.59;9769;7
52;21.33;9911;7
79;10.35;5048;9
15;26.58;8231;8
0;24.21;9643;3
45;23.66;5374;0
44;17.17;5772;4
23;23.56;3385;6
52;27.16;2917;3
82;13.4;7743;6
72;14.38;2981;7
17;10.24;6304;3
37;11.6;3217;0
41;15.08;6709;7
37;25.55;6879;7
86;21.89;4317;6
22;15.12;4782;6
16;10.93;7000;3
85;25.22;1201;5
6;28.81;2338;9
20;14.19;6831;1
3;22.02;7052;2
62;10.4;4709;6
78;19.81;7738;4
38;20.3;5329;6
21;28.75;9206;5
97;19.0;3360;8
51;14.27;4007;3
4;23.32;1674;3
37;14.08;2950;6
92;21.68;9630;1
56;13.22;7691;2
34;23.47;5784;5
28;14.13;6689;1
65;12.61;1497;7
10;26.03;6122;6
68;15.53;2101;3
38;18.51;1553;9
4;15.72;6588;8
44;15.06;5431;10
50;19.66;9003;2
87;24.99;4740;1
77;16.77;2981;1
93;20.96;4347;9
81;22.48;2128;7
62;28.0;7894;9
47;20.95;1173;2
11;16.94;6275;2
9;27.72;3103;6
59;14.35;1021;9
43;15.36;5700;9
52;27.64;2170;8
95;17.13;5189;2
19;18.81;5429;8
41;14.9;4928;4
72;19.02;9688;9
20;21.04;1334;5
11;18.99;3222;5
1;13.08;2494;3
96;10.84;2124;1
62;15.1;2135;2
96;16.0;1810;8
3;16.36;4915;4
12;23.15;1636;8
12;10.66;3210;3
56;17.43;3968;9
55;25.24;5850;5
25;14.34;8254;4
72;13.38;5484;4
97;17.08;4923;7
90;14.93;7529;3
38;10.24;3175;9
81;28.48;2880;5
8;24.08;2977;2
35;30.87;2837;2
97;14.83;3839;2
25;18.21;4924;10
15;25.75;1169;4
76;10.69;3560;9
55;27.89;4297;8
76;10.88;8757;9
66;20.75;4466;10
82;15.11;2294;8
12;12.29;3360;5
16;15.26;6060;0
28;28.05;7995;2
45;17.21;7507;4
66;10.28;8028;10
95;23.44;2391;7
15;19.25;7807;4
58;16.74;3270;7
34;20.38;7720;7
59;29.04;8422;5
16;15.61;2677;0
19;27.73;9141;8
98;23.27;4769;9
24;29.0;7600;0
65;24.42;9438;4
79;13.1;1714;7
18;20.27;6717;3
21;19.56;3708;4
8;14.24;6353;0
2;28.68;8322;0
56;10.83;2890;3
81;17.95;8841;4
6;23.27;7018;6
80;20.13;8408;9
83;24.61;1758;2
93;15.21;3290;9
48;12.75;8304;10
55;18.36;7054;1
93;29.62;7579;1
2;17.75;6839;1
89;21.44;5833;3
97;29.77;6163;6
94;20.82;3834;4
82;19.98;4965;2
95;23.04;9487;1
91;30.97;3810;10
15;26.9;1935;2
43;23.75;4460;2
32;21.88;9456;2
78;15.49;8250;8
81;24.53;6736;5
24;30.82;6952;2
39;19.38;5318;6
2;18.78;8085;5
8;22.66;2310;6
7;19.18;3842;0
56;29.82;3653;1
18;27.23;2093;5
71;12.4;7527;5
28;18.34;6148;6
44;29.96;6700;4
2;12.61;3217;4
85;23.97;7906;2
1;21.48;5765;7
40;20.92;5539;10
20;18.4;3208;7
57;28.11;2260;7
42;17.66;7626;3
22;23.8;9313;5
3;14.59;1444;9
63;28.65;6621;0
12;28.79;2281;6
2;19.75;6987;1
80;14.32;3389;3
84;20.58;1951;5
46;14.67;9385;1
25;12.71;1138;1
12;22.1;2225;10
67;13.14;1142;4
14;13.8;7590;1
7;15.48;1283;6
95;12.76;2145;2
60;23.51;5794;4
65;26.34;7355;3
66;11.66;8244;5
53;15.01;6796;9
52;30.58;1288;1
96;27.72;1162;1
1;29.8;3038;2
3;15.79;4394;4
99;25.14;3633;10
13;18.44;2643;9
61;25.37;7819;6
16;11.14;7989;7
55;20.27;9609;9
14;15.59;8118;1
65;22.11;7339;3
40;24.92;2398;0
82;11.2;7685;1
59;17.44;2040;1
3;19.06;5454;4
28;22.01;9292;3
72;21.24;9228;0
72;14.84;1853;9
100;31.0;5161;1
24;20.41;4950;1
45;13.25;5502;4
20;17.66;2764;5
52;20.59;6671;3
53;13.77;1164;2
59;13.17;7936;3
27;23.04;6914;5
31;26.9;1020;2
69;29.87;5815;2
94;15.11;5198;2
73;19.7;6470;5
58;17.71;8709;6
11;20.47;2599;7
55;14.48;3536;3
16;17.98;6122;5
43;22.06;5886;2
16;13.14;8420;4
41;11.66;1917;10
3;11.07;8492;9
3;28.68;3556;3
33;10.49;5938;7
36;17.75;5441;7
10;24.89;2953;8
34;17.7;5334;9
99;25.35;7786;9
69;30.82;9549;0
63;15.14;7353;6
72;10.08;1227;4
24;10.32;4934;0
91;14.3;4513;9
93;21.04;5161;1
0;19.49;1956;5
24;28.3;1725;1
21;13.81;4705;1
70;19.26;7508;8
49;21.84;1304;4
69;23.46;7064;7
19;24.13;8163;3
70;13.5;1654;1
43;16.23;6015;1
83;22.05;4271;9
12;15.67;7932;6
21;13.23;6350;4
36;19.6;2711;7
51;17.72;3093;1
59;26.01;5695;1
88;17.17;4621;9
98;26.78;1355;2
88;13.74;7374;0
67;11.99;5187;7
31;11.88;1458;5
93;30.25;6748;3
2;22.63;1888;7
40;18.87;7898;1
99;17.07;3909;6
96;26.27;3556;1
32;12.74;7834;1
87;25.96;6554;2
4;20.06;9100;2
15;17.76;4377;4
73;22.21;4482;10
55;25.42;7891;8
31;19.9;4646;6
43;24.53;3342;10
73;30.95;9493;6
33;29.54;8212;1
22;23.74;3985;9
21;27.26;1749;6
31;20.91;7386;6
65;17.06;7223;2
98;26.78;4118;4
28;23.8;2237;3
47;25.43;9672;10
45;18.07;1661;8
62;28.47;5260;3
79;19.32;2990;2
87;30.86;8151;7
21;11.97;8209;3
27;11.33;6897;3
55;23.65;5476;6
99;14.25;5860;3
75;26.95;3186;3
37;19.01;2763;4
42;24.55;4230;6
38;22.33;4188;9
17;10.53;8533;7
9;28.93;6215;3
99;10.17;8159;6
47;29.55;4650;2
54;27.66;4577;8
64;29.23;2526;1
28;30.4;7890;9
44;26.43;2822;7
69;19.9;7087;4
84;16.26;3590;6
90;13.45;1656;6
66;12.93;5932;6
79;18.05;7104;6
54;28.33;2524;4
8;20.25;3209;8
21;12.15;6615;10
8;20.95;3070;8
38;16.11;3702;2
20;23.22;9272;3
96;10.05;7328;2
26;12.78;3730;1
30;22.18;6676;4
26;17.71;3029;8
69;20.52;9922;4
13;24.38;6328;5
40;29.36;2522;3
74;14.85;7145;5
82;13.44;1880;9
89;18.15;8584;1
65;13.03;5094;7
46;10.16;1827;2
17;10.11;6709;8
61;27.05;4954;4
88;19.34;4682;10
86;22.48;9411;3
30;20.64;4993;6
44;12.05;7682;2
55;27.4;1589;2
20;24.64;7996;5
95;22.74;9614;6
99;15.7;7128;6
94;26.31;7108;1
24;28.53;2605;8
95;13.5;2619;4
36;13.23;1893;2
3;23.24;7418;1
84;19.85;6381;4
33;18.48;8262;2
47;17.73;4216;1
84;14.26;2888;5
98;26.31;8323;5
89;26.85;9695;6
93;29.81;7164;3
41;12.34;1286;6
76;14.49;4055;4
86;30.85;1827;3
25;10.41;8109;4
29;16.97;5406;8
86;25.05;4127;1
17;12.28;4837;6
64;13.04;2984;2
69;20.03;8598;0
82;10.82;6356;3
76;12.3;6849;8
4;24.22;9826;1
1;16.26;2713;7
97;18.04;8701;1
40;22.27;2272;1
84;26.29;9107;2
22;29.02;2957;2
5;28.53;4169;3
70;20.93;4291;10
80;20.48;3350;9
48;14.55;4154;2
51;19.07;7262;7
56;21.55;9030;9
61;20.31;2522;0
62;12.62;7919;9
58;17.7;8456;4
76;13.48;5860;8
73;26.25;2728;2
97;28.64;8245;5
88;20.16;5213;0
11;18.67;2383;5
87;12.75;7671;2
94;15.13;2992;8
88;29.24;6038;4
64;21.53;5564;2
61;22.44;7415;3
91;25.74;8797;2
95;17.44;3054;5
37;13.85;8531;10
82;20.87;8919;1
6;27.51;2885;7
16;12.36;7631;9
17;18.0;5529;6
21;26.21;5868;10
34;11.77;3294;1
70;21.43;9536;4
12;15.13;3542;7
54;20.62;9276;5
40;15.26;4012;7
9;16.44;8125;6
2;19.83;8064;1
11;10.58;8390;1
76;19.87;3519;8
98;30.39;3070;9
41;17.64;5541;4
86;15.82;1364;7
80;14.62;5244;6
75;20.09;3116;5
68;28.01;9969;3
69;18.3;1228;6
12;20.23;3428;6
63;30.09;3383;5
71;30.25;7147;4
52;28.71;3638;1
66;23.96;3904;4
79;17.44;7691;5
66;14.78;8103;0
41;29.04;1912;7
15;24.08;3278;3
78;19.69;1429;8
24;23.42;9163;1
54;11.69;8854;9
41;26.47;3025;5
95;25.74;5456;4
4;21.07;7197;9
25;20.68;8855;2
91;25.0;9000;5
39;21.97;8540;6
56;29.27;2512;8
86;16.32;6792;6
17;18.01;2847;10
67;14.17;7824;1
12;28.28;2915;10
58;15.02;7196;3
52;29.46;6830;9
14;14.77;8838;1
47;15.96;6429;10
23;10.59;9224;5
61;19.33;3569;3
10;26.9;7540;8
42;24.21;3171;3
7;23.62;3895;6
27;29.59;3181;3
45;14.68;3891;4
5;19.25;9896;0
34;16.41;5132;3
17;30.46;1347;9
27;17.4;6470;4
95;11.32;6690;2
99;19.93;2074;9
85;23.23;3770;4
81;18.95;5620;1
8;27.38;5334;3
16;21.37;8181;1
46;11.36;4553;9
52;24.04;9630;2
63;20.17;1821;7
73;21.68;4619;3
93;18.2;3992;9
36;15.74;4455;5
56;18.18;6537;7
67;21.75;7436;7
90;14.87;7267;3
24;14.85;3468;9
5;23.15;3602;6
53;10.52;2019;2
95;20.87;8552;3
71;20.51;2745;9
66;22.37;5867;7
64;28.76;1335;1
69;30.81;1033;10
78;10.66;8396;1
44;21.49;3075;8
50;24.86;7462;8
13;29.89;8334;3
1;12.76;5414;9
73;24.21;5684;5
83;17.09;6902;9
90;24.45;6858;4
67;24.35;7575;9
89;11.43;8845;4
89;27.05;4180;10
77;14.29;4531;10
26;24.91;3865;3
71;14.3;7042;8
37;25.58;8227;9
97;22.12;1464;6
3;26.46;3944;6
84;18.72;9896;7
60;27.73;3046;6
83;22.71;8019;9
90;26.56;7143;9
73;26.73;9624;5
35;11.31;6174;8
30;13.17;7789;5
32;21.0;7503;4
79;12.36;3658;7
91;26.46;3415;7
66;24.98;4986;7
62;23.9;3339;1
93;13.39;4930;7
75;23.8;7363;8
20;25.11;7739;7
24;21.51;6848;8
31;12.55;8312;5
51;20.61;1219;10
8;10.88;5803;5
45;17.39;4246;0
59;17.59;7717;9
55;27.56;6378;5
7;14.99;1183;1
95;11.35;5948;3
24;14.9;5362;8
77;19.5;8315;0
64;10.18;6156;4
3;27.72;2270;5
47;16.89;8687;8
11;23.81;6246;8
78;18.12;4214;2
51;14.34;9182;4
16;24.94;1443;4
23;21.75;2079;1
21;12.94;4416;1
25;22.0;1583;1
42;23.21;1427;8
84;30.47;5150;9
36;28.94;4642;5
56;23.52;8619;3
15;13.84;2388;10
35;18.92;3246;3
71;21.02;3270;9
3;13.22;6533;0
23;20.18;2591;0
4;25.47;3405;3
